time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,radius_km
121000,SAT_31,STARLINK-11102 [DTC],SAT,-2688688.17,4752860.97,3938368.61,361.92,-1,10.0.3.31,6732.717043206303
121000,SAT_32,STARLINK-32648,SAT,-1309925.48,5072648.2,4409509.31,478.49,-1,10.0.3.32,6847.732243530931
121000,SAT_33,STARLINK-33907,SAT,-3055815.34,5374461.55,2968389.21,484.03,-1,10.0.3.33,6858.146895966295
121000,SAT_34,STARLINK-3796,SAT,-1162885.08,5331823.86,4242634.88,542.29,-1,10.0.3.34,6912.351127391064
121000,SAT_35,STARLINK-33699,SAT,-2132585.92,6195164.69,2029839.89,482.92,-1,10.0.3.35,6859.171832039219
121000,SAT_36,STARLINK-34641,SAT,-1749876.04,6463595.05,1865004.78,574.55,-1,10.0.3.36,6951.141629629872
121000,SAT_37,STARLINK-31222,SAT,-2737637.07,4935745.73,3878070.38,476.78,-1,10.0.3.37,6848.041509109357
121000,SAT_38,STARLINK-31825,SAT,-2765898.57,5305269.28,3334487.8,476.39,-1,10.0.3.38,6849.444205275973
121000,SAT_39,STARLINK-1789,SAT,-991922.1,5250845.68,4037593.36,327.23,-1,10.0.3.39,6697.5704511680315
121000,SAT_40,STARLINK-30375,SAT,-2888126.29,5055310.83,3764031.64,561.11,-1,10.0.3.40,6932.9196765739
121000,SAT_41,STARLINK-6365,SAT,-1766866.97,6337108.25,2192237.93,558.46,-1,10.0.3.41,6934.455061764099
121000,SAT_42,STARLINK-30999,SAT,-1195695.79,6313805.77,2374186.55,475.03,-1,10.0.3.42,6850.590740783594
121000,SAT_43,STARLINK-35930,SAT,-2725775.93,5094710.28,3693485.37,485.77,-1,10.0.3.43,6857.6790123269175
121000,SAT_44,STARLINK-3807,SAT,-2392827.96,4634821.35,4534651.19,542.69,-1,10.0.3.44,6911.602998403627
121000,SAT_45,STARLINK-4147,SAT,-1058890.16,5717495.2,3739040.53,541.27,-1,10.0.3.45,6913.134153041625
121000,SAT_46,STARLINK-31746,SAT,-3160615.5,5463752.04,2681517.37,483.18,-1,10.0.3.46,6858.032669727969
