time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
420300,UAV_03,RELAY,UAV,-1337503.0,5364179.3,3171123.6,10.0.0.4,276.1,58.0
420300,UAV_04,RELAY,UAV,-1337415.2,5364830.9,3170065.1,10.0.0.5,106.3,58.0
420300,UAV_05,RELAY,UAV,-1338050.5,5364642.5,3170115.7,10.0.0.6,52.0,58.0
420300,UAV_06,RELAY,UAV,-1337808.3,5364818.0,3169922.2,10.0.0.7,76.2,58.0
420300,UAV_07,RELAY,UAV,-1336717.0,5364827.7,3170363.1,10.0.0.8,160.8,58.0
420300,UAV_08,RELAY,UAV,-1337742.3,5363943.9,3171418.7,10.0.0.9,290.8,58.0
420300,UAV_09,RELAY,UAV,-1337478.8,5365009.1,3169739.1,10.0.0.10,99.4,58.0
420300,UAV_10,RELAY,UAV,-1337898.9,5363876.5,3171466.6,10.0.0.11,298.2,58.0
420300,UAV_11,CACHE,UAV,-1336478.0,5364896.7,3170347.4,10.0.0.12,164.5,58.0
420300,UAV_12,RELAY,UAV,-1338350.1,5364752.1,3169805.9,10.0.0.13,52.8,58.0
420300,UAV_13,RELAY,UAV,-1338349.5,5363846.4,3171328.3,10.0.0.14,320.4,58.0
420300,UAV_14,RELAY,UAV,-1336845.8,5364024.9,3171658.4,10.0.0.15,245.8,58.0
420300,UAV_15,RELAY,UAV,-1336189.9,5364717.8,3170768.6,10.0.0.16,187.7,58.0
420300,UAV_16,RELAY,UAV,-1336544.2,5365154.6,3169886.2,10.0.0.17,142.1,58.0
420300,UAV_17,RELAY,UAV,-1337191.4,5365248.9,3169456.5,10.0.0.18,110.1,58.0
420300,UAV_18,RELAY,UAV,-1337693.6,5365191.8,3169342.0,10.0.0.19,90.6,58.0
420300,UAV_19,RELAY,UAV,-1337945.3,5365139.1,3169325.1,10.0.0.20,80.7,58.0
420300,UAV_20,CACHE,UAV,-1337954.3,5365157.6,3169290.3,10.0.0.21,80.4,58.0
420300,UAV_21,CACHE,UAV,-1337720.6,5365247.5,3169237.1,10.0.0.22,89.7,58.0
420300,UAV_22,RELAY,UAV,-1337235.2,5365351.1,3169266.4,10.0.0.23,107.3,58.0
420300,UAV_23,RELAY,UAV,-1336562.1,5365348.7,3169552.5,10.0.0.24,133.1,58.0
420300,UAV_24,RELAY,UAV,-1335954.5,5365088.0,3170245.2,10.0.0.25,165.8,58.0
420300,UAV_25,RELAY,UAV,-1335876.2,5364502.8,3171261.4,10.0.0.26,205.4,58.0
420300,UAV_26,RELAY,UAV,-1336731.1,5363796.3,3172090.6,10.0.0.27,250.5,58.0
420300,UAV_27,RELAY,UAV,-1338281.3,5363487.7,3171959.6,10.0.0.28,302.5,58.0
420300,UAV_28,RELAY,UAV,-1339318.1,5364027.5,3170618.0,10.0.0.29,359.9,58.0
420300,UAV_29,RELAY,UAV,-1338536.0,5365089.4,3169161.2,10.0.0.30,64.3,58.0
420300,UAV_30,RELAY,UAV,-1336440.2,5365477.9,3169386.3,10.0.0.31,132.7,58.0
420300,UAV_31,RELAY,UAV,-1335692.2,5364498.6,3171345.6,10.0.0.32,205.3,58.0
420300,UAV_32,RELAY,UAV,-1337708.3,5363423.7,3172307.4,10.0.0.33,283.4,58.0
420300,UAV_33,RELAY,UAV,-1339487.0,5364072.3,3170471.9,10.0.0.34,5.6,58.0
420300,UAV_34,RELAY,UAV,-1337705.2,5365479.9,3168853.0,10.0.0.35,92.0,58.0
420300,UAV_35,RELAY,UAV,-1335485.9,5364937.3,3170694.9,10.0.0.36,182.4,58.0
420300,UAV_36,RELAY,UAV,-1337490.9,5363396.3,3172444.5,10.0.0.37,277.0,58.0
420300,UAV_37,RELAY,UAV,-1339588.0,5364231.6,3170162.0,10.0.0.38,14.4,58.0
420300,UAV_38,RELAY,UAV,-1336819.2,5365647.5,3168942.5,10.0.0.39,115.8,58.0
420300,UAV_39,RELAY,UAV,-1335734.0,5364168.6,3171882.7,10.0.0.40,221.4,58.0
420300,UAV_40,RELAY,UAV,-1339238.4,5363459.9,3171605.4,10.0.0.41,329.8,58.0
420300,UAV_41,RELAY,UAV,-1338124.0,5365466.4,3168700.2,10.0.0.42,80.9,58.0
420300,UAV_42,RELAY,UAV,-1335306.0,5364707.2,3171156.9,10.0.0.43,196.1,58.0
420300,UAV_43,RELAY,UAV,-1338835.1,5363271.1,3172091.7,10.0.0.44,312.7,58.0
420300,UAV_44,RELAY,UAV,-1338437.8,5365393.2,3168691.6,10.0.0.45,73.4,58.0
420300,UAV_45,RELAY,UAV,-1335232.2,5364700.3,3171199.5,10.0.0.46,196.9,58.0
420300,UAV_46,RELAY,UAV,-1339157.0,5363301.2,3171906.1,10.0.0.47,321.7,58.0
420300,UAV_47,RELAY,UAV,-1337803.6,5365643.3,3168537.1,10.0.0.48,90.7,58.0
420300,UAV_48,RELAY,UAV,-1335525.2,5364147.2,3172006.2,10.0.0.49,221.0,58.0
420300,UAV_49,RELAY,UAV,-1339858.9,5363748.3,3170860.8,10.0.0.50,354.1,58.0
420300,UAV_50,RELAY,UAV,-1336221.5,5365789.4,3168954.5,10.0.0.51,128.6,58.0
420400,GS_01,CLIENT,GS,-1335860.7,5365682.5,3169285.4,10.0.0.1,-1.0,-1.0
420400,UAV_01,RELAY,UAV,-1337772.6,5364371.6,3170687.4,10.0.0.2,347.6,58.0
420400,UAV_02,RELAY,UAV,-1337519.7,5364238.3,3171017.4,10.0.0.3,278.6,58.0
420400,UAV_03,RELAY,UAV,-1337501.5,5364179.5,3171123.7,10.0.0.4,276.1,58.0
420400,UAV_04,RELAY,UAV,-1337416.7,5364830.8,3170064.8,10.0.0.5,106.3,58.0
420400,UAV_05,RELAY,UAV,-1338051.5,5364641.8,3170116.5,10.0.0.6,50.7,58.0
420400,UAV_06,RELAY,UAV,-1337809.7,5364817.5,3169922.5,10.0.0.7,76.2,58.0
420400,UAV_07,RELAY,UAV,-1336717.6,5364828.3,3170361.9,10.0.0.8,160.8,58.0
420400,UAV_08,RELAY,UAV,-1337740.9,5363944.0,3171419.2,10.0.0.9,290.8,58.0
420400,UAV_09,RELAY,UAV,-1337480.3,5365008.8,3169738.9,10.0.0.10,99.4,58.0
420400,UAV_10,RELAY,UAV,-1337897.5,5363876.4,3171467.2,10.0.0.11,298.2,58.0
420400,UAV_11,CACHE,UAV,-1336478.5,5364897.3,3170346.2,10.0.0.12,164.5,58.0
420400,UAV_12,RELAY,UAV,-1338351.2,5364751.4,3169806.7,10.0.0.13,52.8,58.0
420400,UAV_13,RELAY,UAV,-1338348.5,5363846.1,3171329.3,10.0.0.14,320.4,58.0
420400,UAV_14,RELAY,UAV,-1336844.6,5364025.5,3171657.8,10.0.0.15,245.8,58.0
420400,UAV_15,RELAY,UAV,-1336189.9,5364718.6,3170767.3,10.0.0.16,187.7,58.0
420400,UAV_16,RELAY,UAV,-1336545.3,5365154.9,3169885.1,10.0.0.17,142.1,58.0
420400,UAV_17,RELAY,UAV,-1337192.8,5365248.8,3169456.1,10.0.0.18,110.1,58.0
420400,UAV_18,RELAY,UAV,-1337695.0,5365191.4,3169342.0,10.0.0.19,90.6,58.0
420400,UAV_19,RELAY,UAV,-1337946.7,5365138.6,3169325.4,10.0.0.20,80.7,58.0
420400,UAV_20,CACHE,UAV,-1337955.7,5365157.1,3169290.5,10.0.0.21,80.4,58.0
420400,UAV_21,CACHE,UAV,-1337722.1,5365247.1,3169237.1,10.0.0.22,89.7,58.0
